Country,Regional indicator,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (1.88) + residual
Japan,East Asia,5.886,1.327,1.419,1.088,0.445,0.069,0.14,1.399
Honduras,Latin America and Caribbean,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2.323
Kazakhstan,Commonwealth of Independent States,5.809,1.173,1.508,0.729,0.41,0.146,0.096,1.746
Bolivia,Latin America and Caribbean,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2.376
Hungary,Central and Eastern Europe,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2.02
Paraguay,Latin America and Caribbean,5.743,0.855,1.475,0.777,0.514,0.184,0.08,1.857
North Cyprus,Western Europe,5.718,1.263,1.252,1.042,0.417,0.191,0.162,1.39
Peru,Latin America and Caribbean,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2.044
Portugal,Western Europe,5.693,1.221,1.431,0.999,0.508,0.047,0.025,1.462
Pakistan,South Asia,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2.924
Russia,Commonwealth of Independent States,5.648,1.183,1.452,0.726,0.334,0.082,0.031,1.839
Philippines,Southeast Asia,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2.092
Serbia,Central and Eastern Europe,5.603,1.004,1.383,0.854,0.282,0.137,0.039,1.904
Moldova,Commonwealth of Independent States,5.529,0.685,1.328,0.739,0.245,0.181,,2.35
Libya,Middle East and North Africa,5.525,1.044,1.303,0.673,0.416,0.133,0.152,1.804
Montenegro,Central and Eastern Europe,5.523,1.051,1.361,0.871,0.197,0.142,0.08,1.822
Tajikistan,Commonwealth of Independent States,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2.397
Croatia,Central and Eastern Europe,5.432,1.155,1.266,0.914,0.296,0.119,0.022,1.66
Hong Kong,East Asia,5.43,1.438,1.277,1.122,0.44,0.258,0.287,0.609
Dominican Republic,Latin America and Caribbean,5.425,1.015,1.401,0.779,0.497,0.113,0.101,1.519
Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,1.212,0.845,0.212,0.263,0.006,1.905
Turkey,Middle East and North Africa,5.373,1.183,1.36,0.808,0.195,0.083,0.106,1.636
Malaysia,Southeast Asia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,1.326
Belarus,Commonwealth of Independent States,5.323,1.067,1.465,0.789,0.235,0.094,0.142,1.531
Greece,Western Europe,5.287,1.181,1.156,0.999,0.067,,0.034,1.848
Mongolia,East Asia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,1.55
Macedonia,Central and Eastern Europe,5.274,0.983,1.294,0.838,0.345,0.185,0.034,1.595
Nigeria,Sub-Saharan Africa,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2.53
Kyrgyzstan,Commonwealth of Independent States,5.261,0.551,1.438,0.723,0.508,0.3,0.023,1.719
Turkmenistan,Commonwealth of Independent States,5.247,1.052,1.538,0.657,0.394,0.244,0.028,1.334
Algeria,Middle East and North Africa,5.211,1.002,1.16,0.785,0.086,0.073,0.114,1.992
Morocco,Middle East and North Africa,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2.314
Azerbaijan,Commonwealth of Independent States,5.208,1.043,1.147,0.769,0.351,0.035,0.182,1.68
Lebanon,Middle East and North Africa,5.197,0.987,1.224,0.815,0.216,0.166,0.027,1.762
Indonesia,Southeast Asia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,1.382
China,East Asia,5.191,1.029,1.125,0.893,0.521,0.058,0.1,1.466
Vietnam,Southeast Asia,5.175,0.741,1.346,0.851,0.543,0.147,0.073,1.474
Bhutan,South Asia,5.082,0.813,1.321,0.604,0.457,0.37,0.167,1.35
Cameroon,Sub-Saharan Africa,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2.649
Bulgaria,Central and Eastern Europe,5.011,1.092,1.513,0.815,0.311,0.081,0.004,1.195
Ghana,Sub-Saharan Africa,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2.367
Ivory Coast,Sub-Saharan Africa,4.944,0.569,0.808,0.232,0.352,0.154,0.09,2.739
Nepal,South Asia,4.913,0.446,1.226,0.677,0.439,0.285,0.089,1.751
Jordan,Middle East and North Africa,4.906,0.837,1.225,0.815,0.383,0.11,0.13,1.406
Benin,Sub-Saharan Africa,4.883,0.393,0.437,0.397,0.349,0.175,0.082,3.049
Congo (Brazzaville),Sub-Saharan Africa,4.812,0.673,0.799,0.508,0.372,0.105,0.093,2.262
Gabon,Sub-Saharan Africa,4.799,1.057,1.183,0.571,0.295,0.043,0.055,1.596
Laos,Southeast Asia,4.796,0.764,1.03,0.551,0.547,0.266,0.164,1.473
South Africa,Sub-Saharan Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,1.369
Albania,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.178,0.027,1.461
Venezuela,Latin America and Caribbean,4.707,0.96,1.427,0.805,0.154,0.064,0.047,1.25
Cambodia,Southeast Asia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,1.465
Palestinian Territories,Middle East and North Africa,4.696,0.657,1.247,0.672,0.225,0.103,0.066,1.727
Senegal,Sub-Saharan Africa,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2.009
Somalia,Sub-Saharan Africa,4.668,,0.698,0.268,0.559,0.243,0.27,2.629
Namibia,Sub-Saharan Africa,4.639,0.879,1.313,0.477,0.401,0.07,0.056,1.443
Niger,Sub-Saharan Africa,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2.742
Burkina Faso,Sub-Saharan Africa,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2.275
Armenia,Commonwealth of Independent States,4.559,0.85,1.055,0.815,0.283,0.095,0.064,1.398
Iran,Middle East and North Africa,4.548,1.1,0.842,0.785,0.305,0.27,0.125,1.121
Guinea,Sub-Saharan Africa,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2.325
Georgia,Commonwealth of Independent States,4.519,0.886,0.666,0.752,0.346,0.043,0.164,1.662
Gambia,Sub-Saharan Africa,4.516,0.308,0.939,0.428,0.382,0.269,0.167,2.023
Kenya,Sub-Saharan Africa,4.509,0.512,0.983,0.581,0.431,0.372,0.053,1.576
Mauritania,Sub-Saharan Africa,4.49,0.57,1.167,0.489,0.066,0.106,0.088,2.005
Mozambique,Sub-Saharan Africa,4.466,0.204,0.986,0.39,0.494,0.197,0.138,2.058
Tunisia,Middle East and North Africa,4.461,0.921,1,0.815,0.167,0.059,0.055,1.444
Bangladesh,South Asia,4.456,0.562,0.928,0.723,0.527,0.166,0.143,1.406
Iraq,Middle East and North Africa,4.437,1.043,0.98,0.574,0.241,0.148,0.089,1.362
Congo (Kinshasa),Sub-Saharan Africa,4.418,0.094,1.125,0.357,0.269,0.212,0.053,2.308
Mali,Sub-Saharan Africa,4.39,0.385,1.105,0.308,0.327,0.153,0.052,2.061
Sierra Leone,Sub-Saharan Africa,4.374,0.268,0.841,0.242,0.309,0.252,0.045,2.416
Sri Lanka,South Asia,4.366,0.949,1.265,0.831,0.47,0.244,0.047,0.559
Myanmar,Southeast Asia,4.36,0.71,1.181,0.555,0.525,0.566,0.172,0.652
Chad,Sub-Saharan Africa,4.35,0.35,0.766,0.192,0.174,0.198,0.078,2.591
Ukraine,Commonwealth of Independent States,4.332,0.82,1.39,0.739,0.178,0.187,0.01,1.008
Ethiopia,Sub-Saharan Africa,4.286,0.336,1.033,0.532,0.344,0.209,0.1,1.731
Swaziland,Sub-Saharan Africa,4.212,0.811,1.149,,0.313,0.074,0.135,1.73
Uganda,Sub-Saharan Africa,4.189,0.332,1.069,0.443,0.356,0.252,0.06,1.677
Egypt,Middle East and North Africa,4.166,0.913,1.039,0.644,0.241,0.076,0.067,1.187
Zambia,Sub-Saharan Africa,4.107,0.578,1.058,0.426,0.431,0.247,0.087,1.28
Togo,Sub-Saharan Africa,4.085,0.275,0.572,0.41,0.293,0.177,0.085,2.273
India,South Asia,4.015,0.755,0.765,0.588,0.498,0.2,0.085,1.126
Liberia,Sub-Saharan Africa,3.975,0.073,0.922,0.443,0.37,0.233,0.033,1.902
Comoros,Sub-Saharan Africa,3.973,0.274,0.757,0.505,0.142,0.275,0.078,1.941
Madagascar,Sub-Saharan Africa,3.933,0.274,0.916,0.555,0.148,0.169,0.041,1.831
Lesotho,Sub-Saharan Africa,3.802,0.489,1.169,0.168,0.359,0.107,0.093,1.417
Burundi,Sub-Saharan Africa,3.775,0.046,0.447,0.38,0.22,0.176,0.18,2.325
Zimbabwe,Sub-Saharan Africa,3.663,0.366,1.114,0.433,0.361,0.151,0.089,1.149
Haiti,Latin America and Caribbean,3.597,0.323,0.688,0.449,0.026,0.419,0.11,1.581
Botswana,Sub-Saharan Africa,3.488,1.041,1.145,0.538,0.455,0.025,0.1,0.183
Syria,Middle East and North Africa,3.462,0.619,0.378,0.44,0.013,0.331,0.141,1.541
Malawi,Sub-Saharan Africa,3.41,0.191,0.56,0.495,0.443,0.218,0.089,1.413
Yemen,Middle East and North Africa,3.38,0.287,1.163,0.463,0.143,0.108,0.077,1.139
Rwanda,Sub-Saharan Africa,3.334,0.359,0.711,0.614,0.555,0.217,0.411,0.467
Tanzania,Sub-Saharan Africa,3.231,0.476,0.885,0.499,0.417,0.276,0.147,0.531
Afghanistan,South Asia,3.203,0.35,0.517,0.361,,0.158,0.025,1.793
Central African Republic,Sub-Saharan Africa,3.083,0.026,,0.105,0.225,0.235,0.035,2.456
South Sudan,Sub-Saharan Africa,2.853,0.306,0.575,0.295,0.01,0.202,0.091,1.374
